"LC.MS.run","focal_ID","Testo_pg.mg","Age","Season","Density"
"3_812","'0007B0FD66",0.63,179,"Spring",311
"3_812","'00079CDA23",1.2,179,"Spring",311
"3_812","'0007B04C03",0.56,331,"Spring",311
"3_812","'0007B11E5D",0.26,187,"Spring",311
"3_812","'0007B0FF88",0.45,184,"Spring",311
"3_812","'0007B1013E",0.74,185,"Spring",311
"3_812","'0007B11D82",0.91,184,"Spring",311
"3_812","'0007B100A3",0.93,398,"Spring",311
"3_812","'0007B10199",0.94,384,"Spring",311
"3_812","'00075A8CB4",0.94,698,"Spring",311
"3_812","'0007B0FEE6",0.36,184,"Spring",311
"3_812","'00079992BF",0.65,244,"Spring",311
"3_812","'0007B11F2A",1.54,187,"Spring",311
"3_812","'0007B0064E",0.45,377,"Spring",311
"3_812","'0007B00798",0.44,341,"Spring",311
"3_812","'0007B04AA1",0.64,228,"Spring",311
"3_812","'0007B10168",0.54,231,"Spring",311
"3_812","'0007B0FEE1",0.38,230,"Spring",311
"3_812","'0007B0CF32",1.82,431,"Spring",311
"3_812","'0007B12005",0.56,233,"Summer",311
"3_812","'0007B04CCC",0.96,237,"Summer",311
"3_812","'0007B0CBEF",0.57,303,"Summer",311
"3_812","'0007B11E13",0.44,327,"Summer",311
"3_812","'0007B0FD8C",0.36,238,"Summer",311
"3_812","'0007B0CEE6",0.67,327,"Summer",311
"3_812","'0007B0D1FA",0.7,328,"Summer",311
"3_812","'0007B0D1E0",0.71,96,"Summer",311
"3_812","'0007B0FEE3",0.63,100,"Summer",311
"3_812","'00079AA8DB",0.51,406,"Summer",311
"3_812","'0007B045FE",0.79,143,"Summer",311
"3_812","'0007B0FB57",1.1,248,"Summer",311
"3_812","'00079A964B",1.1,417,"Summer",311
"3_812","'000799CD8C",0.6,437,"Summer",311
"3_812","'0007B04894",0.79,91,"Summer",311
"3_812","'0007B0FE51",1.01,95,"Summer",311
"3_812","'0007B0FFDC",0.92,95,"Summer",311
"3_812","'0007B046D7",0.66,94,"Summer",311
"3_812","'0007B0FD73",0.44,96,"Summer",311
"3_812","'0007B11F12",0.6,96,"Summer",311
"3_812","'0007B0FBC5",0.98,242,"Summer",311
"3_812","'0007B11C10",0.98,94,"Summer",311
"3_812","'0007B101CE",0.84,94,"Summer",311
"3_812","'0007B10326",0.87,242,"Summer",311
"3_812","'0007B0197D",0.78,431,"Summer",311
"3_812","'0007B1206B",0.38,97,"Summer",311
"3_812","'0007B101ED",0.51,93,"Summer",311
"3_812","'0007B0FE55",0.87,146,"Summer",311
"3_812","'00079A2ADC",0.95,396,"Summer",311
"3_812","'0007B047DD",1.12,95,"Summer",311
"3_812","'0007ABCD2F",1.17,436,"Summer",311
"4_812","'0007B0D2BA",1.32,203,"Winter",207
"4_812","'0007B0FF0C",2.01,201,"Winter",207
"4_812","'0007B0FEF6",2.92,205,"Winter",207
"4_812","'0007B0FE95",1.36,142,"Winter",207
"4_812","'0007B12147",1.6,201,"Winter",207
"4_812","'0007B121E8",1.81,141,"Winter",207
"4_812","'0007B100AF",4.56,338,"Winter",207
"4_812","'0007B10040",4.88,145,"Winter",207
"4_812","'0007B11DB9",1.87,143,"Winter",207
"4_812","'0007B10235",1.6,145,"Winter",207
"4_812","'0007B0FBAB",2.21,145,"Winter",207
"4_812","'0007B11B79",2.02,198,"Winter",207
"4_812","'0007B11F6D",0.56,160,"Summer",252
"4_812","'0007B11F18",0.59,161,"Summer",252
"4_812","'0007B0FF43",1.28,160,"Summer",252
"4_812","'00079A5EAE",0.66,487,"Summer",252
"4_812","'0007B11E9C",0.72,318,"Summer",252
"4_812","'0007B11BE3",0.49,314,"Summer",252
"4_812","'0007B0CEE6",0.63,407,"Summer",252
"4_812","'0007B0FD8C",0.34,318,"Summer",252
"4_812","'0007B11B69",0.73,144,"Summer",252
"4_812","'0007B120E8",0.56,151,"Summer",252
"4_812","'0007B10102",0.54,124,"Summer",252
"4_812","'0007B11DF4",0.91,123,"Summer",252
"4_812","'0007B9B1CE",0.36,125,"Summer",252
"4_812","'0007B11BED",0.6,151,"Summer",252
"4_812","'0007B12103",0.36,128,"Summer",252
"4_812","'0007ABA10E",0.53,407,"Summer",252
"4_812","'00079A1B9A",0.98,522,"Summer",252
"4_812","'00079A6412",0.57,487,"Summer",252
"4_812","'0007B0FEE6",1.79,319,"Summer",252
"4_812","'0007B11D82",1.32,319,"Summer",252
"4_812","'0007ABE022",0.9,461,"Summer",252
"4_812","'0007B0FE51",0.72,175,"Summer",252
"4_812","'0007B0D042",0.47,166,"Summer",252
"4_812","'0007B0FEB7",0.45,180,"Summer",252
"4_812","'00079A8C6E",0.94,532,"Summer",252
"4_812","'0007B122B0",1.1,171,"Summer",252
"4_812","'0007B04894",0.87,171,"Summer",252
"4_812","'0007B11F12",0.82,176,"Summer",252
"4_812","'0007B0FD73",0.49,176,"Summer",252
"4_812","'0007B1206B",0.8,177,"Summer",252
"4_812","'0007B04B55",0.59,153,"Summer",252
"4_812","'0007B048F7",0.66,158,"Summer",252
"4_812","'0007B0CF7F",0.64,151,"Summer",252
"4_812","'0007B12005",0.38,313,"Summer",252
"4_812","'0007B0FDEB",1.14,155,"Summer",252
"4_812","'0007B04AB1",0.66,151,"Summer",252
"4_812","'0007B04DF5",0.82,170,"Summer",252
"4_812","'0007B1227C",0.48,149,"Summer",252
"4_812","'0007B048F5",0.54,150,"Summer",252
"4_812","'0007B11F77",0.91,151,"Summer",252
"4_812","'0007B0FEE1",1.24,314,"Summer",252
"4_812","'0007B0064E",0.59,512,"Summer",252
"4_812","'0007B12259",0.33,156,"Summer",252
"4_812","'00079CDA08",0.93,159,"Summer",252
"4_812","'0007B0CFAB",0.54,151,"Summer",252
"4_812","'0007B0FEE3",0.48,180,"Summer",252
"4_812","'0007B11AC4",0.54,156,"Summer",252
"4_812","'0007B11E42",0.56,156,"Summer",252
"4_812","'0007B0D1FE",0.79,217,"Summer",252
"4_812","'0007B047DD",0.59,175,"Summer",252
"4_812","'0007B12310",0.58,325,"Summer",252
"4_812","'00079A964B",0.6,497,"Summer",252
"4_812","'0007B0CE53",0.35,168,"Autumn",252
"4_812","'0007B8EE01",0.63,343,"Autumn",252
"4_812","'0007B11C10",0.72,200,"Autumn",252
"4_812","'0007B0D32F",0.57,182,"Autumn",252
"4_812","'0007B82FF6",0.5,166,"Autumn",252
"5_986","'0007B8CF97",1.14,145,"Winter",286
"5_986","'0007B11D82",0.75,553,"Spring",315
"5_986","'0007BADD0A",1.26,190,"Winter",286
"5_986","'0007BAB067",0.74,112,"Summer",315
"5_986","'0007B04AFA",0.77,268,"Summer",315
"5_986","'0007B1011C",1.27,147,"Winter",286
"5_986","'0007B9617A",0.7,120,"Summer",315
"5_986","'0007BA9BED",0.54,106,"Summer",315
"5_986","'0007B0D33A",0.78,118,"Winter",286
"5_986","'0007B82412",0.43,106,"Summer",315
"5_986","'0007BA9509",0.69,97,"Summer",315
"5_986","'0007B84C5C",0.42,93,"Summer",315
"5_986","'0007BAE768",1.16,118,"Winter",286
"5_986","'0007B824FC",0.79,91,"Summer",315
"5_986","'0007BAAEA0",0.64,293,"Summer",315
"5_986","'0007BAC082",0.37,344,"Summer",315
"5_986","'0007B0D09B",0.33,329,"Winter",286
"5_986","'0007B95A4A",1.08,96,"Summer",315
"5_986","'0007BAD96F",0.74,123,"Summer",315
"5_986","'0007B8CDCB",0.35,106,"Summer",315
"5_986","'0007B9AD8A",0.51,120,"Summer",315
"5_986","'0007B0FF90",1.13,164,"Winter",286
"5_986","'0007B8D2E2",0.72,106,"Summer",315
"5_986","'0007B10040",1.26,496,"Winter",286
"5_986","'0007B82928",0.55,106,"Summer",315
"5_986","'0007BA961B",0.72,105,"Summer",315
"5_986","'0007B84AD4",1.03,105,"Summer",315
"5_986","'0007B0CF7F",0.63,323,"Winter",286
"5_986","'0007BA9632",0.75,91,"Summer",315
"5_986","'0007B9623F",1.57,91,"Summer",315
"5_986","'0007B11CCA",0.2,444,"Summer",315
"5_986","'0007AFE6D8",0.86,190,"Winter",286
"5_986","'0007B8300B",0.9,123,"Summer",315
"5_986","'0007BAB223",0.82,123,"Summer",315
"5_986","'0007B8D170",0.37,111,"Summer",315
"5_986","'0007BA980B",0.6,123,"Summer",315
"5_986","'0007BA97C8",0.14,120,"Summer",315
"5_986","'0007BAC6DB",0.24,123,"Summer",315
"5_986","'00079C4C40",0.76,146,"Winter",286
"5_986","'0007BAB041",1.48,125,"Winter",286
"5_986","'0007BAAF5C",1.12,151,"Winter",286
"5_986","'0007B8D41D",0.82,194,"Winter",286
"5_986","'0007B11D3D",0.49,165,"Winter",286
"5_986","'0007B0494E",0.88,163,"Winter",286
"5_986","'0007B8F1F4",1.71,125,"Winter",286
"5_986","'0007BAB5B2",1.22,150,"Winter",286
"5_986","'0007BAB19C",1.31,182,"Winter",286
"5_986","'0007B8CF13",0.63,194,"Winter",286
"5_986","'0007B11FF1",1.02,164,"Winter",286
"5_986","'0007B1225A",0.43,193,"Winter",286
"5_986","'0007B11FBF",0.5,152,"Winter",286
"5_986","'0007B82FF6",1.5,312,"Winter",286
"5_986","'0007B8EE01",0.72,489,"Winter",286
"5_986","'0007B1221E",0.65,307,"Winter",286
"5_986","'0007B9B114",2.19,207,"Winter",286
"5_986","'0007B9B454",1.16,186,"Winter",286
"5_986","'0007B04AFA",0.95,147,"Winter",286
"5_986","'0007B11D80",0.6,328,"Winter",286
"5_986","'0007B8D0AF",0.75,167,"Winter",286
"5_986","'0007B122C4",1.68,386,"Spring",315
"5_986","'0007B0494B",1.2,193,"Winter",286
"5_986","'0007B1227C",0.97,383,"Spring",315
"5_986","'0007B1221E",0.81,369,"Spring",315
"5_986","'0007B0D32F",0.65,390,"Spring",315
"5_986","'0007B11CCA",0.73,385,"Spring",315
"5_986","'0007B048F7",0.92,392,"Spring",315
"5_986","'0007BABEC4",0.75,191,"Spring",315
"5_986","'0007B11E5C",1.04,139,"Winter",286
"5_986","'0007B04DF5",0.8,404,"Spring",315
"5_986","'0007B0FDEB",1.27,389,"Spring",315
"5_986","'0007AFE561",0.69,198,"Winter",286
"5_986","'00079CDA08",1.09,393,"Spring",315
"5_986","'0007B11F77",0.49,385,"Spring",315
"5_986","'0007B048F5",0.76,384,"Spring",315
"5_986","'0007B1225E",0.79,402,"Spring",315
"5_986","'0007B122B0",1.3,405,"Spring",315
"5_986","'0007B0FBD7",1.2,390,"Spring",315
"5_986","'0007B11B69",0.85,378,"Spring",315
"5_986","'0007B0FD8C",0.72,552,"Spring",315
"6_1044","'0007AFE653",0.76,366,"Summer",447
"6_1044","'0007B83BF5",0.96,152,"Summer",447
"6_1044","'0007BAC137",0.42,203,"Summer",447
"6_1044","'0007BA967E",0.23,156,"Summer",447
"6_1044","'0007B8D233",0.49,96,"Summer",447
"6_1044","'0007BA9DDB",0.49,116,"Summer",447
"6_1044","'0007BACD5A",0.55,152,"Summer",447
"6_1044","'0007B84E57",0.5,184,"Summer",447
"6_1044","'0007B823B7",0.65,116,"Summer",447
"6_1044","'0007B9B5D2",0.38,118,"Summer",447
"6_1044","'0007BA981E",0.68,885,"Summer",447
"6_1044","'0007BAB4C0",0.69,98,"Summer",447
"6_1044","'0007BAF08B",0.17,181,"Summer",447
"6_1044","'0007B9B593",0.54,99,"Summer",447
"6_1044","'0007B83DA9",0.44,118,"Summer",447
"6_1044","'0007B0D059",1.6,366,"Summer",447
"6_1044","'0007B84C5C",0.34,168,"Summer",447
"6_1044","'0007B95EB0",0.47,102,"Summer",447
"6_1044","'0007BAC046",0.76,352,"Summer",447
"6_1044","'0007B82928",0.13,181,"Summer",447
"6_1044","'0007BAC202",0.71,389,"Summer",447
"6_1044","'0007B11E8A",0.62,407,"Summer",447
"6_1044","'0007B8F200",0.85,183,"Summer",447
"6_1044","'0007BAB1B2",0.43,156,"Summer",447
"6_1044","'0007BADA51",0.23,109,"Summer",447
"6_1044","'0007BA951C",0.37,104,"Summer",447
"6_1044","'0007BA99D1",0.19,885,"Summer",447
"6_1044","'0007B9B532",1.19,97,"Summer",447
"6_1044","'0007BAC123",0.55,138,"Summer",447
"6_1044","'0007BAC661",0.41,123,"Summer",447
"6_1044","'0007BA983F",0.78,122,"Summer",447
"6_1044","'0007BAAFA7",0.82,159,"Summer",447
"6_1044","'0007BA9B57",1.16,356,"Summer",447
"6_1044","'0007BAA7A3",1.42,400,"Summer",447
"6_1044","'0007B8242A",0.68,153,"Summer",447
"6_1044","'0007BAE768",0.56,314,"Summer",447
"6_1044","'0007BADBDC",0.83,142,"Summer",447
"6_1044","'0007B95BC4",0.59,116,"Summer",447
"6_1044","'0007B9B3D9",0.35,138,"Summer",447
"6_1044","'0007BAB321",1.75,152,"Summer",447
"6_1044","'0007BAC6E7",0.59,152,"Summer",447
"6_1044","'0007BAC67E",0.8,138,"Summer",447
"6_1044","'0007B82787",0.77,160,"Summer",447
"6_1044","'0007B85122",1.27,157,"Summer",447
"6_1044","'0007B8299C",0.64,144,"Summer",447
"6_1044","'0007B9AD28",0.53,122,"Summer",447
"6_1044","'0007BAC099",0.51,142,"Summer",447
"6_1044","'0007BAF312",0.49,128,"Summer",447
"6_1044","'0007B1219C",1.34,432,"Summer",447
"6_1044","'0007B82D4C",0.58,401,"Summer",447
"6_1044","'0007B0D089",0.74,530,"Summer",447
"6_1044","'0007BAC273",1.09,392,"Summer",447
"6_1044","'0007BAAF5C",0.99,350,"Summer",447
"6_1044","'0007B8D1B0",0.62,332,"Summer",447
"6_1044","'0007BAD685",1.02,355,"Summer",447
"6_1044","'0007BAA9A5",0.75,351,"Summer",447
"6_1044","'0007BAC4B6",0.37,194,"Summer",447
"6_1044","'0007BADD5F",0.21,197,"Summer",447
"6_1044","'0007BAC57F",0.43,199,"Summer",447
"6_1044","'0007BADD19",0.28,167,"Autumn",447
"6_1044","'0007BADADB",0.89,332,"Autumn",447
"6_1044","'0007B83C1E",0.52,238,"Autumn",417
"6_1044","'0007AFEC28",1.08,228,"Autumn",417
"6_1044","'0007BA9B0E",1.45,230,"Autumn",417
"6_1044","'00079D74D7",1.02,446,"Autumn",417
"6_1044","'0007BADA4C",0.6,229,"Autumn",417
"6_1044","'0007BAD82D",0.87,259,"Autumn",417
"6_1044","'0007BABF8A",1.22,188,"Autumn",417
"6_1044","'0007B8D042",1.04,271,"Autumn",417
"6_1044","'0007B832E6",1.18,232,"Autumn",417
"6_1044","'0007BA981F",0.87,216,"Autumn",417
"6_1044","'0007BAB1B2",0.44,234,"Autumn",417
"6_1044","'0007BAC5AA",0.69,192,"Autumn",417
"6_1044","'0007BAC407",1.08,438,"Autumn",417
"6_1044","'0007B8CF54",0.18,201,"Autumn",417
"6_1044","'0007B9AD8A",0.78,273,"Autumn",417
"6_1044","'0007B9ADA0",1.06,470,"Autumn",417
"6_1044","'0007B82DEB",0.68,278,"Autumn",417
"6_1044","'0007B8242A",0.83,231,"Autumn",417
"6_1044","'0007B9AB57",1.26,434,"Autumn",417
"6_1044","'0007B8D2E2",1.31,259,"Autumn",417
"6_1044","'0007B9B674",1.01,263,"Autumn",417
"6_1044","'0007B84AD4",1.32,258,"Autumn",417
"6_1044","'0007BA961B",0.82,258,"Autumn",417
"6_1044","'0007BAC2EB",0.4,121,"Autumn",417
"6_1044","'0007BAD93A",0.53,288,"Autumn",417
"6_1044","'0007BA9487",0.8,240,"Autumn",417
"6_1044","'0007BABEC4",1.11,403,"Autumn",417
"6_1044","'0007BAB2AE",0.8,247,"Autumn",417
"6_1044","'0007B8CCBB",0.75,236,"Autumn",417
"6_1044","'0007BA9632",0.83,244,"Autumn",417
"6_1044","'0007BA94D8",0.74,147,"Autumn",417
"6_1044","'0007B0494B",0.99,474,"Autumn",417
"6_1044","'0007BAC790",0.55,120,"Autumn",447
"6_1044","'0007AFEC28",0.23,209,"Autumn",447
"6_1044","'0007BA95B2",0.94,263,"Autumn",447
"6_1044","'0007BAC005",0.55,271,"Autumn",447
"6_1044","'0007BA9E0C",0.49,127,"Autumn",447
"6_1044","'0007B9617A",0.71,259,"Autumn",447
"6_1044","'0007BA9C2E",0.79,221,"Autumn",447
"6_1044","'0007BAB19C",0.86,435,"Autumn",447
"6_1044","'0007AFE8B0",1.3,192,"Autumn",447
"6_1044","'0007BAF043",0.76,252,"Autumn",417
"6_1044","'0007BA9E40",1.01,439,"Autumn",417
"6_1044","'0007BADA37",0.37,102,"Autumn",447
"6_1044","'0007BAC67E",1.01,216,"Autumn",417
"7_1128","'0007BA9BE7",5.67,270,"Spring",371
"7_1128","'0007BACA94",1.04,136,"Spring",371
"7_1128","'0007BA944C",0.45,101,"Spring",371
"7_1128","'0007B11849",1.93,430,"Spring",371
"7_1128","'0007BA95F5",0.29,254,"Spring",371
"7_1128","'0007BAB13F",1.22,430,"Spring",371
"7_1128","'00079D74D7",2.04,602,"Spring",371
"7_1128","'0007B8D233",0.69,330,"Spring",371
"7_1128","'0007BAE5C3",1.49,348,"Spring",371
"7_1128","'0007BA9487",0.88,410,"Spring",506
"7_1128","'0007BAC2BB",0.58,96,"Spring",506
"7_1128","'0007BAC5AC",0.45,119,"Spring",506
"7_1128","'0007BAD6FE",0.31,1133,"Spring",506
"7_1128","'0007BA98A8",0.67,94,"Spring",506
"7_1128","'0007B9B2C5",1.31,352,"Spring",506
"7_1128","'0007BAC321",0.85,97,"Spring",506
"7_1128","'0007BABFC0",0.98,199,"Spring",506
"7_1128","'0007B9B532",1.33,345,"Spring",506
"7_1128","'0007BA9781",1.78,455,"Spring",506
"7_1128","'0007B8D042",1.18,455,"Spring",506
"7_1128","'0007BAD81E",0.57,254,"Spring",506
"7_1128","'0007B84B28",0.51,220,"Spring",506
"7_1128","'0007BAE423",0.93,314,"Spring",506
"7_1128","'0007BA9505",0.42,92,"Spring",506
"7_1128","'0007BADDA9",0.7,92,"Spring",506
"7_1128","'0007BADAEB",0.29,330,"Spring",506
"7_1128","'0007BAF54D",1.09,1147,"Spring",506
"7_1128","'0007B9B557",1.05,330,"Spring",506
"7_1128","'0007BAE196",0.48,131,"Spring",506
"7_1128","'0007B83AC2",1.34,131,"Spring",506
"7_1128","'0007B9B58E",1.38,320,"Spring",506
"7_1128","'0007B84B8F",0.9,133,"Spring",506
"7_1128","'0007B84FDB",0.55,126,"Spring",506
"7_1128","'0007B9B390",0.65,126,"Spring",506
"7_1128","'0007BAF476",1.25,412,"Spring",506
"7_1128","'0007BADA4C",1.2,413,"Spring",506
"7_1128","'0007BA9E02",0.42,135,"Spring",506
"7_1128","'0007BA958C",0.71,135,"Spring",506
"7_1128","'0007BAD69F",0.81,111,"Spring",506
"7_1128","'0007BA967E",0.85,418,"Spring",506
"7_1128","'0007B82C48",0.61,107,"Spring",506
"7_1128","'0007BAB15D",0.79,303,"Spring",506
"7_1128","'0007BAC513",0.16,93,"Spring",506
"7_1128","'0007B82EF9",0.35,127,"Spring",506
"7_1128","'0007BADAA3",0.67,101,"Spring",506
"7_1128","'0007BAD67E",1.56,93,"Spring",506
"7_1128","'0007B82BFE",0.35,258,"Summer",506
"7_1128","'0007BA9859",1.38,436,"Summer",506
"7_1128","'0007BAD81E",1.27,310,"Summer",506
"7_1128","'0007BAE423",0.61,370,"Summer",506
"7_1128","'0007BAE196",0.26,187,"Summer",506
"7_1128","'0007BA967E",0.74,474,"Summer",506
"7_1128","'0007BA9CF9",0.59,187,"Summer",506
"7_1128","'0007B9ADE0",0.74,504,"Summer",506
"7_1128","'0007BA9DFC",1.11,376,"Summer",506
"7_1128","'0007B839A2",0.34,163,"Summer",506
"7_1128","'0007B82C48",0.68,163,"Summer",506
"7_1128","'0007B9B650",0.92,359,"Summer",506
"7_1128","'0007BAE31A",0.6,431,"Summer",506
"7_1128","'0007BAE408",0.7,291,"Summer",506
"7_1128","'0007B8299C",0.94,462,"Summer",506
"7_1128","'0007BADEAD",0.33,150,"Summer",506
"7_1128","'0007BAD854",1.08,377,"Summer",506
"7_1128","'0007B83512",0.89,157,"Summer",506
"7_1128","'0007B9B2EF",0.51,113,"Summer",506
"7_1128","'0007BAD67E",0.57,149,"Summer",506
"7_1128","'0007BADCC3",0.64,185,"Summer",506
"7_1128","'0007BAC639",1.07,380,"Summer",506
"7_1128","'0007BAB321",0.67,470,"Summer",506
"7_1128","'0007BAE5B8",0.35,156,"Summer",506
"7_1128","'0007BAE0E4",0.52,127,"Summer",506
"7_1128","'0007B832E6",0.32,472,"Summer",506
"7_1128","'0007B95BFC",0.95,291,"Summer",506
"7_1128","'0007BAF5CB",0.85,502,"Autumn",462
"7_1128","'0007B839BE",0.95,210,"Autumn",462
"7_1128","'0007AFEA06",0.37,92,"Autumn",462
"7_1128","'0007BAEF27",0.81,300,"Autumn",462
"7_1128","'0007BAB321",0.55,587,"Autumn",462
"7_1128","'0007BAB69A",0.26,117,"Autumn",462
"7_1128","'0007B8D2DF",0.52,155,"Autumn",462
"7_1128","'0007BA9E40",0.86,789,"Autumn",462
"7_1128","'0007BACBA9",0.71,482,"Autumn",462
"7_1128","'0007B8295F",0.58,427,"Autumn",462
"7_1128","'0007BA95E6",3.04,237,"Autumn",462
"7_1128","'0007BAB44B",0.21,119,"Autumn",462
"7_1128","'0007B8EC73",0.64,500,"Autumn",462
"7_1128","'0007BAB3CD",0.9,219,"Autumn",462
"7_1128","'0007BABFC0",1.03,386,"Autumn",462
"7_1128","'0007BAC67E",0.99,573,"Autumn",462
"7_1128","'0007BAD65B",0.75,347,"Autumn",462
"7_1128","'0007B9B2C5",1.82,539,"Autumn",462
"7_1128","'0007B83418",0.89,473,"Autumn",462
"7_1128","'0007B83572",0.98,216,"Autumn",462
"7_1128","'0007BAE32C",0.63,238,"Autumn",462
"7_1128","'0007B830CC",0.52,157,"Summer",506
"7_1128","'0007BAC57A",0.59,384,"Summer",506
"8_1144","'0007B8373B",0.69,277,"Autumn",462
"8_1144","'0007B8F12A",0.56,194,"Autumn",462
"8_1144","'0007B8CF54",1.12,584,"Autumn",462
"8_1144","'0007BAAF9D",0.76,145,"Autumn",462
"8_1144","'0007BAB1E9",0.98,143,"Autumn",462
"8_1144","'0007AFE54A",0.9,144,"Autumn",462
"8_1144","'0007BAB3FD",0.71,139,"Autumn",462
"8_1144","'0007BAB263",0.66,434,"Autumn",462
"8_1144","'0007B8EC82",0.43,145,"Autumn",462
"8_1144","'0007BA956D",0.88,272,"Autumn",462
"8_1144","'P000140718",0.23,144,"Autumn",462
"8_1144","'0007B8F065",0.67,296,"Winter",462
"8_1144","'0007BAE515",0.58,303,"Winter",462
"8_1144","'0007B8F260",0.16,144,"Winter",462
"8_1144","'0007B8349B",1.11,251,"Winter",462
"8_1144","'0007BADA10",0.59,294,"Winter",462
"8_1144","'0007BAC6E7",0.61,616,"Winter",462
"8_1144","'0007B85039",0.67,552,"Winter",462
"8_1144","'0007BAE293",0.68,280,"Winter",462
"8_1144","'0007BAE11D",0.55,273,"Winter",462
"8_1144","'0007BADEDD",0.88,280,"Winter",462
"8_1144","'0007BE412B",0.27,170,"Winter",462
"8_1144","'0007B83790",1.27,552,"Winter",462
"8_1144","'0007BADE41",0.43,296,"Winter",462
"8_1144","'0007BAD903",0.59,296,"Winter",462
"8_1144","'0007B83483",0.34,320,"Winter",462
"8_1144","'0007BAC5AA",0.43,578,"Winter",462
